impacted_stakeholders,affordable housing and zoning,"building permits, inspections, and local ordinances",climate action and clean energy,job creation and business support,"parks, recreation, and public art","police, fire, and emergency response",public transportation and roads,"town governance, human resources, and board appointments",uncategorized initiatives,"waste management, stormwater, and infrastructure"
bicyclists,0,0,0,0,1,0,2,0,0,0
seniors,0,0,0,0,1,2,0,0,0,0
youth athletes,0,0,0,0,2,0,0,0,0,0
surveyors,0,1,0,0,0,0,0,0,0,1
schools,0,0,0,0,0,0,2,0,0,0
police chief,0,0,0,0,0,2,0,0,0,0
all residents,0,0,0,0,0,0,0,2,0,0
school classes,0,0,0,0,0,2,0,0,0,0
community groups,0,0,0,0,0,2,0,0,0,0
guests,1,0,0,0,0,1,0,0,0,0
property seekers,0,2,0,0,0,0,0,0,0,0
district attorney,0,0,0,0,0,2,0,0,0,0
communities,0,0,1,0,0,0,1,0,0,0
adults,0,0,0,0,1,0,0,0,0,1
emergency workers,0,0,0,0,1,1,0,0,0,0
homeowners/residents,0,0,0,0,0,1,0,0,0,1
state bureau of investigation,0,0,0,0,0,2,0,0,0,0
kittens,0,0,0,0,0,0,0,0,2,0
parks and recreation users,0,0,0,0,0,0,1,1,0,0
individuals,1,0,0,0,0,0,0,1,0,0
participants,0,0,0,0,2,0,0,0,0,0
homeowners associations,0,0,0,0,0,0,0,0,0,2
website users,0,0,0,0,0,0,0,0,2,0
county staff,0,0,0,0,0,0,0,2,0,0
non-residents,0,0,0,0,1,0,0,0,0,1
stormwater management division,0,0,0,0,0,0,0,0,0,2
emergency medical services,0,0,0,0,0,2,0,0,0,0
council,0,1,0,0,0,0,0,1,0,0
staff,0,0,0,0,0,0,0,2,0,0
communication and engagement department,0,0,0,0,0,0,0,2,0,0
public space and sustainability division,0,0,0,0,0,0,1,0,0,1
commissioners,0,0,0,0,0,0,0,2,0,0
neighbors,0,0,0,0,0,1,0,1,0,0
low-income families,2,0,0,0,0,0,0,0,0,0
adopters,0,0,0,0,0,0,0,0,2,0
orange county government,0,0,0,0,1,0,0,1,0,0
finance department,0,0,0,0,0,0,0,2,0,0
board of adjustment members,0,0,0,0,0,0,0,2,0,0
public works staff,1,0,0,0,1,0,0,0,0,0
orange county department on aging,0,0,0,0,0,0,0,2,0,0
utilities department staff,0,0,0,0,0,0,0,0,0,2
public works,0,1,0,0,0,0,1,0,0,0
utility contractors,0,2,0,0,0,0,0,0,0,0
utility customers,0,0,0,0,0,1,0,1,0,0
medical personnel,0,0,0,0,0,2,0,0,0,0
orange county board of commissioners,0,0,0,0,0,0,0,2,0,0
artists,0,0,0,0,2,0,0,0,0,0
public utilities department,0,0,0,0,0,0,0,0,0,2
orange county animal services (ocas),0,0,0,0,0,0,0,0,2,0
foster parents,0,0,0,0,0,0,0,0,2,0
public transit users,0,0,0,0,1,0,1,0,0,0
applicants for advisory boards/commissions,0,0,0,0,0,0,0,2,0,0
recreation and parks advocacy commission members,0,0,0,0,1,0,0,1,0,0
town attorney,0,0,0,0,0,0,0,2,0,0
town leadership,0,0,0,0,0,0,0,2,0,0
town employees,0,0,0,0,0,0,0,1,0,1
american red cross,0,0,0,0,0,2,0,0,0,0
local government,0,0,0,0,0,0,1,1,0,0
water and sewer customers,0,0,0,0,0,0,0,1,0,1
town manager patrice toney,0,0,0,0,0,0,0,2,0,0
town of carrboro,0,0,1,0,1,0,0,0,0,0
hillsborough board of commissioners,0,0,0,0,0,0,0,2,0,0
hillsborough tree board,0,0,0,0,2,0,0,0,0,0
hillsborough water customers,0,0,0,0,0,0,0,0,0,2
animal owners,0,0,0,0,0,2,0,0,0,0
animal services,0,0,0,0,0,2,0,0,0,0
organizations,0,0,0,0,0,0,0,2,0,0
tourism board,0,0,0,1,0,0,0,1,0,0
free-roaming cats,0,0,0,0,0,0,0,0,2,0
city council,0,0,0,0,1,0,1,0,0,0
poets,0,0,0,0,1,0,0,0,0,0
pregnant women,0,0,0,0,0,0,0,0,0,1
pool and hot tub owners,0,0,0,0,0,0,0,0,0,1
planning director,0,1,0,0,0,0,0,0,0,0
property management,0,0,0,0,0,1,0,0,0,0
private companies,0,0,0,0,0,0,0,1,0,0
private buildings,0,0,0,0,0,0,0,0,0,1
prospective foster parents,0,0,0,0,0,0,0,0,1,0
properties discharging greasy wastewater,0,0,0,0,0,0,0,0,0,1
property owners next to the treated section of river,0,0,0,0,0,0,0,0,0,1
police department employees,0,0,0,0,0,0,0,1,0,0
psnc customers,0,0,0,0,0,1,0,0,0,0
police department officers,0,0,0,0,0,1,0,0,0,0
project engage,0,0,0,0,0,0,0,1,0,0
pregnant cats,0,0,0,0,0,0,0,0,1,0
prospective pet owners,0,0,0,0,0,0,0,0,1,0
program participants,0,0,0,0,1,0,0,0,0,0
professional engineering firms,0,0,0,0,0,0,0,0,0,1
pollinators (bees),0,0,0,0,1,0,0,0,0,0
adoptable dogs,0,0,0,0,1,0,0,0,0,0
planning department,0,0,0,0,0,0,1,0,0,0
orange county building inspections division,0,0,0,1,0,0,0,0,0,0
orange county landowners,0,0,0,0,0,0,0,0,0,1
orange county human relations commission,0,0,0,0,0,0,0,1,0,0
orange county households,0,0,0,0,0,0,0,0,0,1
orange county health director quintana stewart,0,0,0,0,0,0,0,1,0,0
orange county government departments,0,0,0,0,0,0,0,1,0,0
orange county fire marshal division,0,0,0,1,0,0,0,0,0,0
orange county economic development office,0,0,0,1,0,0,0,0,0,0
orange county department of social services,0,0,0,0,0,0,0,0,0,1
"orange county department of environment, agriculture, parks and recreation",0,0,0,0,1,0,0,0,0,0
orange county cooperative extension center,0,0,0,0,0,0,0,1,0,0
orange county commissioner phyllis portie-ascott,0,0,0,0,0,0,0,1,0,0
orange county children,0,0,0,0,0,0,0,0,1,0
orange county animal services (ocas) staff,0,0,0,0,0,0,0,0,1,0
orange county planning and inspections department,0,0,0,0,0,0,0,0,0,1
orange county affordable housing advisory board,0,0,0,0,0,0,0,1,0,0
operators,0,0,0,0,0,0,0,0,0,1
on-duty supervisors,0,0,0,0,0,1,0,0,0,0
older adults in orange county,0,0,0,0,0,0,0,1,0,0
office of civil rights & civic life,0,0,0,0,0,0,0,1,0,0
nrpa,0,0,0,0,1,0,0,0,0,0
northern transition area advisory committee,0,0,0,0,0,0,0,1,0,0
north carolina railroad company,0,0,0,0,1,0,0,0,0,0
north carolina railroad,0,0,0,0,0,0,1,0,0,0
north carolina public utilities commission,0,0,0,0,0,0,0,0,0,1
north carolina justice academy,0,0,0,0,0,1,0,0,0,0
north carolina forest service,0,0,0,0,0,0,0,0,0,1
orange county master gardener program,0,0,0,0,1,0,0,0,0,0
orange county residents in need of housing assistance,1,0,0,0,0,0,0,0,0,0
planning commission,0,1,0,0,0,0,0,0,0,0
people with disabilities,0,0,0,0,0,0,0,1,0,0
planning board members,0,0,0,0,0,0,0,1,0,0
planning board,0,0,0,0,0,0,0,1,0,0
planning and zoning department,0,1,0,0,0,0,0,0,0,0
planning and economic development division staff,0,1,0,0,0,0,0,0,0,0
piedmont electric customers,0,0,0,0,0,1,0,0,0,0
physically or elderly disabled citizens,0,0,0,0,0,0,0,0,0,1
physically disabled residents,0,0,0,0,0,0,0,0,0,1
pet owners needing to rehome pets,0,0,0,0,0,0,0,0,1,0
persons with disabilities,1,0,0,0,0,0,0,0,0,0
persons being arrested,0,0,0,0,0,1,0,0,0,0
permanently disabled residents,1,0,0,0,0,0,0,0,0,0
performers,0,0,0,0,1,0,0,0,0,0
people experiencing homelessness,0,0,0,0,0,1,0,0,0,0
orange county sheriff's office,0,0,0,0,0,0,0,1,0,0
partners,0,0,0,0,0,0,0,0,1,0
parks and recreation board,0,0,0,0,1,0,0,0,0,0
parents with abuse/neglect/dependency cases,0,0,0,0,0,1,0,0,0,0
parade applicants,0,0,0,0,1,0,0,0,0,0
other agencies,0,0,0,0,0,1,0,0,0,0
organizations and individuals working on affordable housing,1,0,0,0,0,0,0,0,0,0
orange water and sewer authority,0,0,0,0,0,0,0,0,0,1
orange rural fire department,0,0,0,0,0,0,0,1,0,0
orange county/hillsborough economic development district,0,0,0,0,0,0,0,0,0,1
orange county waste & recycling centers,0,0,0,0,0,0,0,0,0,1
orange county solid waste department,0,0,0,0,0,0,0,0,0,1
orange county solid waste convenience center,0,0,0,0,0,0,0,0,0,1
parents/guardians,0,0,0,0,1,0,0,0,0,0
residents interested in programs,0,0,0,0,1,0,0,0,0,0
public (for traffic safety),0,1,0,0,0,0,0,0,0,0
town planning department,0,0,0,0,0,0,0,0,0,1
undergraduate interns,0,0,0,0,0,0,0,1,0,0
unc-chapel hill,0,0,0,0,0,0,1,0,0,0
unc hospitals hillsborough campus,0,0,0,0,0,0,0,0,0,1
triangle west transportation planning organization,0,0,0,0,0,0,1,0,0,0
tree board,0,0,0,0,1,0,0,0,0,0
travel and tourism promoters,0,0,0,0,0,0,0,1,0,0
transportation agencies,0,0,0,0,0,0,1,0,0,0
transportation advisory board,0,0,0,0,0,0,0,1,0,0
transgender community members,0,0,0,0,0,0,0,1,0,0
town utilities staff,0,0,0,0,0,0,0,0,0,1
town stream ecologist,0,0,0,0,0,0,0,0,0,1
town staff/departments,0,0,1,0,0,0,0,0,0,0
town public works division,0,0,0,0,0,0,0,0,0,1
town planners,0,0,0,0,0,0,0,0,0,1
public accommodations,0,0,0,0,0,0,0,1,0,0
town of hillsborough offices,0,0,0,0,0,0,0,1,0,0
town of chapel hill staff,0,0,0,0,0,0,0,0,0,1
town of carrboro employees,0,0,0,0,0,0,0,1,0,0
town of carrboro administration,0,0,0,0,0,0,0,1,0,0
town government (for permitting and enforcement),0,1,0,0,0,0,0,0,0,0
town communications team,0,0,0,0,0,0,0,1,0,0
town clerk staff,0,0,0,0,0,0,0,1,0,0
town advisory boards/commissions,1,0,0,0,0,0,0,0,0,0
town,0,0,0,0,0,0,0,1,0,0
tourists,0,0,0,0,0,0,1,0,0,0
tourism board members,0,0,0,0,0,0,0,1,0,0
tiana oxendine (student),0,0,0,0,0,0,0,1,0,0
third parties,0,0,0,0,0,1,0,0,0,0
unhoused community members,1,0,0,0,0,0,0,0,0,0
unit owners,0,0,0,0,0,0,0,0,0,1
unvaccinated people,0,0,0,0,0,0,0,0,1,0
utilities department,0,0,0,0,0,0,0,0,0,1
young men and women,0,0,0,0,0,0,0,0,1,0
young golfers,0,0,0,0,1,0,0,0,0,0
witnesses,0,0,0,0,0,0,0,1,0,0
wild animals,0,0,0,0,0,1,0,0,0,0
water treatment plant staff,0,0,0,0,0,0,0,0,0,1
water distribution division,0,0,0,0,0,0,0,0,0,1
wanted persons,0,0,0,0,0,1,0,0,0,0
vulnerable residents,1,0,0,0,0,0,0,0,0,0
vulnerable populations,0,0,0,0,0,0,0,1,0,0
vulnerable children,1,0,0,0,0,0,0,0,0,0
volunteer department,0,0,0,0,0,1,0,0,0,0
volunteer coaches,0,0,0,0,1,0,0,0,0,0
victims of vehicle damage,0,0,0,0,0,1,0,0,0,0
victims of theft from vehicle,0,0,0,0,0,1,0,0,0,0
victims of stolen property,0,0,0,0,0,1,0,0,0,0
victims of property damage,0,0,0,0,0,1,0,0,0,0
victims of phone scams,0,0,0,0,0,1,0,0,0,0
victims of identity theft,0,0,0,0,0,1,0,0,0,0
victims of harassment,0,0,0,0,0,1,0,0,0,0
veterinary offices,0,0,0,0,0,1,0,0,0,0
veterinarians,0,0,0,0,0,1,0,0,0,0
various community groups,0,0,0,0,0,0,0,1,0,0
various boards and commissions,0,1,0,0,0,0,0,0,0,0
utility users,0,0,0,0,0,0,0,1,0,0
utility crews,0,0,0,0,0,0,0,0,0,1
utility companies,0,0,0,0,0,0,1,0,0,0
utilities infrastructure protection supervisor,0,0,0,0,0,0,0,0,0,1
tennis players,0,0,0,0,1,0,0,0,0,0
tenants,1,0,0,0,0,0,0,0,0,0
teen parents,0,0,0,0,0,0,0,0,1,0
residents needing public transit,0,0,0,0,0,0,1,0,0,0
residents near eno river,0,0,0,0,0,0,0,0,0,1
residents interested in recreational and cultural activities,0,0,0,0,1,0,0,0,0,0
residents interested in environmental issues,0,0,1,0,0,0,0,0,0,0
residents interested in animal services performance,0,0,0,0,0,0,0,1,0,0
residents and businesses,0,0,0,0,0,0,0,0,0,1
residents (impacted by infrastructure projects),0,0,0,0,0,0,0,0,0,1
residents (as beneficiaries of the project),0,0,0,0,0,0,0,0,1,0
residential customers,0,0,0,0,0,0,0,0,0,1
residential buildings,0,0,0,0,0,0,0,0,0,1
residential building permit applicants,0,1,0,0,0,0,0,0,0,0
renters,0,0,0,0,0,1,0,0,0,0
regional organizations,0,0,0,0,0,0,0,1,0,0
refugees,1,0,0,0,0,0,0,0,0,0
recreation specialists,0,0,0,0,0,0,0,1,0,0
recreation and parks department,0,0,0,0,1,0,0,0,0,0
recreation and parks advocacy commission,0,0,0,0,1,0,0,0,0,0
recreation & parks department,0,0,0,0,0,0,1,0,0,0
racial equity advisory members,0,0,0,0,0,0,0,1,0,0
public works department sanitation division staff,0,0,0,0,0,0,0,0,0,1
public water system users,0,0,0,0,0,0,0,0,0,1
public spaces,0,0,0,0,1,0,0,0,0,0
public space and sustainability,0,0,0,0,1,0,0,0,0,0
public servants,0,0,0,0,0,0,0,1,0,0
public health reserve corps,0,0,0,0,0,1,0,0,0,0
public health officials,0,0,0,0,0,1,0,0,0,0
public buildings,0,0,0,0,0,0,0,0,0,1
public arts commission,0,0,0,0,1,0,0,0,0,0
residents needing accessibility accommodations,0,0,0,0,0,0,0,1,0,0
residents of the city of mebane,0,0,0,0,0,0,0,1,0,0
suspects,0,0,0,0,0,1,0,0,0,0
residents of the extraterritorial jurisdiction,0,0,0,0,0,0,0,1,0,0
subjects of force,0,0,0,0,0,1,0,0,0,0
subjects involved in use of force incidents,0,0,0,0,0,1,0,0,0,0
students in hillsborough,0,0,0,0,0,1,0,0,0,0
student interns,0,0,0,0,0,0,0,0,1,0
stray pets,0,0,0,0,0,0,0,0,1,0
str operators,1,0,0,0,0,0,0,0,0,0
stormwater utility customers,0,0,0,0,0,0,0,1,0,0
stormwater professionals,0,0,0,0,0,0,0,0,0,1
stormwater and environmental services,0,1,0,0,0,0,0,0,0,0
sponsors and partners,0,0,0,0,1,0,0,0,0,0
special olympics north carolina,0,0,0,0,0,1,0,0,0,0
southeast recycling development council,0,0,0,0,0,0,0,0,0,1
social media users,0,0,0,0,0,0,0,1,0,0
small businesses (for economic recovery fund),0,0,0,0,0,0,0,0,1,0
small business owners,0,0,0,1,0,0,0,0,0,0
small animals,0,0,0,0,0,0,0,0,1,0
single-family homeowners,0,0,0,0,0,0,0,0,0,1
service animal owners,0,0,0,0,0,0,0,1,0,0
senior health advocacy and resource partners of orange county (sharp),0,0,0,0,0,0,0,1,0,0
senior communications specialist,0,0,0,0,0,0,0,1,0,0
senior citizens (via spice subcommittee),0,0,0,0,1,0,0,0,0,0
school groups,0,0,0,0,1,0,0,0,0,0
safety and risk management office,0,0,0,0,0,0,0,0,0,1
roberson street residents,0,0,0,0,0,0,1,0,0,0
residents with whole house filters,0,0,0,0,0,0,0,0,0,1
residents with disabilities,0,0,0,0,0,0,0,0,0,1
residents seeking housing/human services,1,0,0,0,0,0,0,0,0,0
north carolina division of water resources,0,0,0,0,0,0,0,0,0,1
low-income individuals,1,0,0,0,0,0,0,0,0,0
north carolina department of health and human services,0,0,0,1,0,0,0,0,0,0
community home trust,1,0,0,0,0,0,0,0,0,0
communications division,0,0,0,0,0,0,0,1,0,0
community cat caretakers,0,0,0,0,0,0,0,0,1,0
community colleges,0,0,0,0,0,1,0,0,0,0
community design commission members,0,0,0,0,0,0,0,1,0,0
community emergency response team (cert),0,0,0,0,0,1,0,0,0,0
community groups and organizations,0,0,0,0,0,0,0,1,0,0
community housing partners,1,0,0,0,0,0,0,0,0,0
construction contractors,0,0,0,0,0,0,0,0,1,0
community members and visitors,0,0,0,0,0,0,0,1,0,0
community members benefiting from services,0,0,0,0,0,0,0,1,0,0
community members seeking fitness/recreation,0,0,0,0,1,0,0,0,0,0
community officials,0,0,1,0,0,0,0,0,0,0
community partners,0,0,0,0,1,0,0,0,0,0
community services department,0,1,0,0,0,0,0,0,0,0
committee members,0,0,0,0,0,0,0,1,0,0
commission members,0,0,0,0,0,0,0,1,0,0
commercial properties,0,0,0,0,0,0,0,0,0,1
commercial buildings,0,0,0,0,0,0,0,0,0,1
commanders,0,0,0,0,0,1,0,0,0,0
command personnel,0,0,0,0,0,1,0,0,0,0
collins ridge developers,0,0,0,0,1,0,0,0,0,0
coaches,0,0,0,0,1,0,0,0,0,0
climbers,0,0,0,0,1,0,0,0,0,0
climate and environmental advisory commission members,0,0,0,0,0,0,0,1,0,0
clients receiving care,0,0,0,0,0,0,0,1,0,0
clerk's office,0,0,0,0,0,0,0,1,0,0
clearscapes (design firm),0,0,0,0,0,0,1,0,0,0
city staff,0,0,0,0,1,0,0,0,0,0
city of mebane staff (city engineer),0,0,0,0,0,0,0,0,0,1
city of mebane facilities,0,0,0,0,0,0,0,1,0,0
city of graham,0,0,0,0,0,0,0,0,0,1
community volunteers,0,0,0,0,0,0,0,1,0,0
construction crews,0,0,0,0,0,0,0,0,1,0
elderly people,0,0,0,0,0,1,0,0,0,0
downtown mebane development corporation,0,0,0,0,1,0,0,0,0,0
direct care workers,0,0,0,0,0,0,0,1,0,0
disabled american veterans,1,0,0,0,0,0,0,0,0,0
displaced survivors,1,0,0,0,0,0,0,0,0,0
doctors,0,0,0,0,0,0,0,0,0,1
dogs,0,0,0,0,0,0,0,0,1,0
downtown hillsborough,0,0,0,0,0,0,1,0,0,0
downtown users,0,0,0,0,0,0,1,0,0,0
construction-related businesses,0,0,0,0,0,0,0,0,0,1
dss clients,0,0,0,0,0,0,0,0,1,0
duke power customers,0,0,0,0,0,1,0,0,0,0
economic development department,0,0,0,1,0,0,0,0,0,0
economic sustainability commission members,0,0,0,0,0,0,0,1,0,0
economically disadvantaged,1,0,0,0,0,0,0,0,0,0
eha applicants,1,0,0,0,0,0,0,0,0,0
department of social services (dss) staff,0,0,0,0,0,0,0,0,1,0
department of social services,0,0,0,0,0,1,0,0,0,0
department heads,0,0,0,0,0,0,0,1,0,0
daycares,0,0,0,0,0,1,0,0,0,0
current board/commission members,0,0,0,0,0,0,0,1,0,0
criminals,0,0,0,0,0,1,0,0,0,0
criminal justice debt program advisory committee,0,0,0,0,0,1,0,0,0,0
court system,1,0,0,0,0,0,0,0,0,0
county-sponsored activities,0,0,0,0,0,0,0,1,0,0
county staff processing applications,1,0,0,0,0,0,0,0,0,0
county services,0,0,0,0,0,0,0,1,0,0
county governments,0,0,0,0,0,0,0,1,0,0
county extension director jonathon smith,0,0,0,0,0,0,0,1,0,0
county departments,0,0,0,0,0,0,0,1,0,0
corrections departments,0,0,0,0,0,1,0,0,0,0
contracting companies,0,0,0,0,0,0,0,1,0,0
consumers,0,0,0,1,0,0,0,0,0,0
"city departments (planning, inspections, fire)",0,1,0,0,0,0,0,0,0,0
city council members,0,0,0,0,0,0,0,1,0,0
citizens in custody,0,0,0,0,0,1,0,0,0,0
applicants for eha/lhap,1,0,0,0,0,0,0,0,0,0
animals in need,0,0,0,0,0,0,0,0,1,0
animals in shelters,0,0,0,0,0,0,0,0,1,0
animals needing homes,0,0,0,0,0,0,0,0,1,0
apartment complexes,0,0,0,0,0,0,0,0,0,1
appearance commission,0,0,0,0,0,0,0,1,0,0
applicants for development,0,0,0,0,0,0,0,0,0,1
applicants for zoning changes/permits,0,0,0,0,0,0,0,1,0,0
churches,0,0,0,0,1,0,0,0,0,0
aquatic ecosystems,0,0,1,0,0,0,0,0,0,0
area rescue organizations,0,0,0,0,0,0,0,0,1,0
asab members,0,0,0,0,0,0,0,1,0,0
asian american and pacific islander population,1,0,0,0,0,0,0,0,0,0
assisting fire departments,0,0,0,0,0,1,0,0,0,0
associations,0,0,0,0,0,0,0,0,0,1
animals (for lifesaving programs),0,0,0,0,0,0,0,0,1,0
"animals (cats, dogs, kittens)",0,0,0,0,0,0,0,0,1,0
animals,0,0,0,0,0,0,0,0,1,0
animal welfare advocates,0,0,0,0,0,0,0,1,0,0
animal services director,0,0,0,0,0,0,0,1,0,0
amtrak,0,0,0,0,0,0,1,0,0,0
all residents of carrboro,0,0,0,0,1,0,0,0,0,0
all orange county residents,1,0,0,0,0,0,0,0,0,0
all employees operating town-owned vehicles,0,0,0,0,0,0,0,1,0,0
all adults,0,0,0,0,0,0,0,0,0,1
alamance county landfill,0,0,0,0,0,0,0,0,0,1
alamance county,0,0,0,0,0,0,0,1,0,0
alamance and orange county commissioners,0,0,0,0,0,0,0,1,0,0
agricultural community,0,0,0,0,0,0,0,0,0,1
advisory commission members,0,0,0,0,0,0,0,1,0,0
advisory boards and commissions,0,0,0,0,0,0,0,1,0,0
adults with behavioral health diagnoses,0,0,0,0,0,1,0,0,0,0
at-risk elderly,1,0,0,0,0,0,0,0,0,0
athletes,0,0,0,0,1,0,0,0,0,0
authors of comments,0,0,0,0,0,0,0,1,0,0
candidates,0,0,0,0,0,1,0,0,0,0
childcare providers,0,0,0,1,0,0,0,0,0,0
child passenger safety (cps) technicians,0,0,0,0,0,1,0,0,0,0
chief executive officer (ceo),0,0,0,0,0,1,0,0,0,0
chapel hill transit,0,0,0,0,0,0,0,1,0,0
chapel hill residents,0,0,0,0,0,0,0,0,1,0
chapel hill police crisis unit,0,0,0,0,0,1,0,0,0,0
chapel hill fire rescue personnel,0,0,0,0,0,1,0,0,0,0
cats,0,0,0,0,0,0,0,0,1,0
carrboro town council,0,0,0,0,0,0,0,1,0,0
carrboro residents with limited english proficiency,0,0,0,0,0,0,0,1,0,0
carrboro residents,0,0,0,0,0,0,1,0,0,0
carrboro homeowners,0,0,0,0,0,0,0,0,0,1
caregivers,0,0,0,0,0,1,0,0,0,0
canine officers,0,0,0,0,0,1,0,0,0,0
calea assessors,0,0,0,0,0,1,0,0,0,0
belayers,0,0,0,0,1,0,0,0,0,0
businesses collecting room occupancy tax,0,0,0,0,0,0,0,1,0,0
businesses (advertisers),0,0,0,0,0,0,1,0,0,0
business owners,0,0,0,1,0,0,0,0,0,0
budget division staff,0,0,0,0,0,0,0,1,0,0
bpac (bicycle and pedestrian advisory commission),0,0,0,0,0,0,0,1,0,0
board of health,0,0,0,0,0,0,0,0,1,0
board of commissioners,0,0,0,0,1,0,0,0,0,0
blue sky robotics,1,0,0,0,0,0,0,0,0,0
"black, indigenous, and people of color",0,0,1,0,0,0,0,0,0,0
black community members,0,0,0,0,1,0,0,0,0,0
birds,0,0,0,0,0,0,0,0,1,0
bipoc community,0,0,0,0,0,0,0,1,0,0
bidders,0,1,0,0,0,0,0,0,0,0
bicycle and pedestrian advisory commission members,0,0,0,0,0,0,0,1,0,0
elderly disabled residents,0,0,0,0,0,0,0,0,0,1
elderly residents,1,0,0,0,0,0,0,0,0,0
north carolina department of environmental quality,0,0,0,0,0,0,0,0,0,1
licensed contractors,0,1,0,0,0,0,0,0,0,0
law enforcement officials,0,0,0,0,0,0,0,0,1,0
law enforcement personnel,0,0,0,0,0,1,0,0,0,0
legal professionals,0,1,0,0,0,0,0,0,0,0
legislators,0,0,0,0,1,0,0,0,0,0
lgbtq community,0,0,0,0,0,0,0,1,0,0
library patrons,0,0,0,0,1,0,0,0,0,0
licensed land surveyor,0,0,0,0,0,0,0,0,0,1
local schools,0,0,0,0,0,1,0,0,0,0
licensed north carolina professional engineers,0,0,0,0,0,0,0,0,0,1
licensed plumbers,0,0,0,0,0,0,0,0,0,1
local beekeepers,0,0,0,0,1,0,0,0,0,0
local churches,0,0,0,0,0,0,0,0,0,1
local ecosystems,0,0,1,0,0,0,0,0,0,0
local musicians,0,0,0,0,1,0,0,0,0,0
law enforcement officers,0,0,0,0,0,1,0,0,0,0
law enforcement agencies,0,0,0,0,0,1,0,0,0,0
