impacted_stakeholders,Carrboro,Chapel Hill,Hillsborough,Mebane,Orange County
pregnant women,0,0,1,0,0
pool and hot tub owners,0,0,1,0,0
planning director,0,1,0,0,0
property management,1,0,0,0,0
private companies,0,0,1,0,0
private buildings,0,0,0,0,1
prospective foster parents,0,0,0,0,1
properties discharging greasy wastewater,0,0,1,0,0
property owners next to the treated section of river,0,0,1,0,0
police department employees,0,0,1,0,0
psnc customers,0,0,0,0,1
police department officers,0,0,1,0,0
project engage,0,0,0,0,1
pregnant cats,0,0,0,0,1
prospective pet owners,0,0,0,0,1
program participants,0,0,0,0,1
professional engineering firms,0,0,0,1,0
pollinators (bees),0,0,1,0,0
adoptable dogs,0,0,0,0,1
planning department,0,0,0,1,0
orange county building inspections division,0,0,1,0,0
orange county landowners,0,0,0,0,1
orange county human relations commission,0,0,1,0,0
orange county households,0,0,0,0,1
orange county health director quintana stewart,0,0,0,0,1
orange county government departments,0,0,0,0,1
orange county fire marshal division,0,0,1,0,0
orange county economic development office,0,0,1,0,0
orange county department of social services,0,0,1,0,0
"orange county department of environment, agriculture, parks and recreation",0,0,0,0,1
orange county cooperative extension center,0,0,0,0,1
orange county commissioner phyllis portie-ascott,0,0,0,0,1
orange county children,0,0,0,0,1
orange county animal services (ocas) staff,0,0,0,0,1
orange county planning and inspections department,0,0,1,0,0
orange county affordable housing advisory board,0,0,1,0,0
operators,0,0,0,0,1
on-duty supervisors,0,0,1,0,0
older adults in orange county,0,0,0,0,1
office of civil rights & civic life,0,0,0,0,1
nrpa,0,0,0,1,0
northern transition area advisory committee,1,0,0,0,0
north carolina railroad company,0,0,1,0,0
north carolina railroad,0,0,1,0,0
north carolina public utilities commission,0,0,1,0,0
north carolina justice academy,0,0,1,0,0
north carolina forest service,0,0,0,0,1
orange county master gardener program,0,0,1,0,0
orange county residents in need of housing assistance,0,0,0,0,1
planning commission,0,1,0,0,0
people with disabilities,0,0,1,0,0
planning board members,0,0,0,1,0
planning board,1,0,0,0,0
planning and zoning department,0,0,0,1,0
planning and economic development division staff,0,0,1,0,0
piedmont electric customers,0,0,0,0,1
physically or elderly disabled citizens,0,0,0,1,0
physically disabled residents,0,0,0,1,0
pet owners needing to rehome pets,0,0,0,0,1
persons with disabilities,0,0,0,0,1
persons being arrested,0,0,1,0,0
permanently disabled residents,0,0,0,0,1
performers,1,0,0,0,0
people experiencing homelessness,0,0,0,0,1
orange county sheriff's office,0,0,1,0,0
partners,0,0,0,0,1
parks and recreation board,0,0,1,0,0
parents with abuse/neglect/dependency cases,0,0,0,0,1
parade applicants,0,0,0,1,0
other agencies,0,0,1,0,0
organizations and individuals working on affordable housing,0,1,0,0,0
orange water and sewer authority,0,0,1,0,0
orange rural fire department,0,0,1,0,0
orange county/hillsborough economic development district,0,0,1,0,0
orange county waste & recycling centers,0,0,0,1,0
orange county solid waste department,0,0,0,0,1
orange county solid waste convenience center,0,0,1,0,0
parents/guardians,0,0,0,1,0
residents interested in programs,1,0,0,0,0
public (for traffic safety),0,0,1,0,0
town planning department,0,1,0,0,0
undergraduate interns,0,1,0,0,0
unc-chapel hill,0,1,0,0,0
unc hospitals hillsborough campus,0,0,1,0,0
triangle west transportation planning organization,1,0,0,0,0
tree board,0,0,1,0,0
travel and tourism promoters,0,0,1,0,0
transportation agencies,1,0,0,0,0
transportation advisory board,1,0,0,0,0
transgender community members,1,0,0,0,0
town utilities staff,0,0,1,0,0
town stream ecologist,0,1,0,0,0
town staff/departments,1,0,0,0,0
town public works division,0,0,1,0,0
town planners,0,1,0,0,0
public accommodations,0,0,0,0,1
town of hillsborough offices,0,0,1,0,0
town of chapel hill staff,0,1,0,0,0
town of carrboro employees,1,0,0,0,0
town of carrboro administration,1,0,0,0,0
town government (for permitting and enforcement),0,0,1,0,0
town communications team,1,0,0,0,0
town clerk staff,0,0,1,0,0
town advisory boards/commissions,1,0,0,0,0
town,0,1,0,0,0
tourists,0,0,1,0,0
tourism board members,0,0,1,0,0
tiana oxendine (student),0,0,0,0,1
third parties,0,0,1,0,0
unhoused community members,0,1,0,0,0
unit owners,0,1,0,0,0
unvaccinated people,0,0,0,1,0
utilities department,0,0,1,0,0
young men and women,0,0,0,0,1
young golfers,0,0,0,1,0
witnesses,0,1,0,0,0
wild animals,0,0,0,0,1
water treatment plant staff,0,0,1,0,0
water distribution division,0,0,1,0,0
wanted persons,0,0,1,0,0
vulnerable residents,0,1,0,0,0
vulnerable populations,0,1,0,0,0
vulnerable children,0,0,0,0,1
volunteer department,0,0,0,1,0
volunteer coaches,0,1,0,0,0
victims of vehicle damage,0,1,0,0,0
victims of theft from vehicle,0,1,0,0,0
victims of stolen property,0,1,0,0,0
victims of property damage,0,1,0,0,0
victims of phone scams,0,1,0,0,0
victims of identity theft,0,1,0,0,0
victims of harassment,0,1,0,0,0
veterinary offices,0,0,1,0,0
veterinarians,0,0,0,0,1
various community groups,1,0,0,0,0
various boards and commissions,0,0,0,1,0
utility users,0,0,1,0,0
utility crews,0,0,1,0,0
utility companies,0,0,1,0,0
utilities infrastructure protection supervisor,0,0,1,0,0
tennis players,0,1,0,0,0
tenants,0,0,0,0,1
teen parents,0,0,0,0,1
residents needing public transit,0,0,0,0,1
residents near eno river,0,0,1,0,0
residents interested in recreational and cultural activities,1,0,0,0,0
residents interested in environmental issues,1,0,0,0,0
residents interested in animal services performance,0,0,0,0,1
residents and businesses,0,0,1,0,0
residents (impacted by infrastructure projects),0,0,0,1,0
residents (as beneficiaries of the project),0,0,1,0,0
residential customers,0,0,1,0,0
residential buildings,0,0,0,0,1
residential building permit applicants,0,0,1,0,0
renters,1,0,0,0,0
regional organizations,0,0,1,0,0
refugees,0,0,0,0,1
recreation specialists,0,1,0,0,0
recreation and parks department,0,0,0,1,0
recreation and parks advocacy commission,0,0,0,1,0
recreation & parks department,0,0,0,1,0
racial equity advisory members,0,0,0,1,0
public works department sanitation division staff,0,0,0,1,0
public water system users,0,0,1,0,0
public spaces,0,0,1,0,0
public space and sustainability,0,0,1,0,0
public servants,0,0,0,0,1
public health reserve corps,0,0,0,0,1
public health officials,0,0,0,0,1
public buildings,0,0,0,0,1
public arts commission,0,1,0,0,0
residents needing accessibility accommodations,0,0,0,0,1
residents of the city of mebane,0,0,0,1,0
suspects,0,0,1,0,0
residents of the extraterritorial jurisdiction,0,0,0,1,0
subjects of force,0,0,1,0,0
subjects involved in use of force incidents,0,0,1,0,0
students in hillsborough,0,0,1,0,0
student interns,0,0,0,0,1
stray pets,0,0,0,0,1
str operators,0,1,0,0,0
stormwater utility customers,0,0,1,0,0
stormwater professionals,0,1,0,0,0
stormwater and environmental services,0,0,1,0,0
sponsors and partners,0,0,0,1,0
special olympics north carolina,0,0,0,1,0
southeast recycling development council,0,0,0,0,1
social media users,0,0,1,0,0
small businesses (for economic recovery fund),0,0,0,0,1
small business owners,0,1,0,0,0
small animals,0,0,0,0,1
single-family homeowners,0,0,1,0,0
service animal owners,0,0,1,0,0
senior health advocacy and resource partners of orange county (sharp),0,0,0,0,1
senior communications specialist,0,0,1,0,0
senior citizens (via spice subcommittee),0,0,0,1,0
school groups,0,0,0,1,0
safety and risk management office,0,0,1,0,0
roberson street residents,1,0,0,0,0
residents with whole house filters,0,0,1,0,0
residents with disabilities,0,0,1,0,0
residents seeking housing/human services,1,0,0,0,0
north carolina division of water resources,0,0,1,0,0
low-income individuals,0,1,0,0,0
north carolina department of health and human services,0,1,0,0,0
community home trust,0,1,0,0,0
communications division,0,0,1,0,0
community cat caretakers,0,0,0,0,1
community colleges,0,0,1,0,0
community design commission members,0,1,0,0,0
community emergency response team (cert),0,0,0,0,1
community groups and organizations,0,1,0,0,0
community housing partners,0,1,0,0,0
construction contractors,0,0,1,0,0
community members and visitors,0,0,1,0,0
community members benefiting from services,0,0,0,0,1
community members seeking fitness/recreation,0,0,0,1,0
community officials,0,1,0,0,0
community partners,1,0,0,0,0
community services department,0,0,1,0,0
committee members,0,1,0,0,0
commission members,0,1,0,0,0
commercial properties,1,0,0,0,0
commercial buildings,0,0,0,0,1
commanders,0,0,1,0,0
command personnel,0,0,1,0,0
collins ridge developers,0,0,1,0,0
coaches,0,0,0,1,0
climbers,0,1,0,0,0
climate and environmental advisory commission members,1,0,0,0,0
clients receiving care,0,0,0,0,1
clerk's office,0,0,0,0,1
clearscapes (design firm),0,0,1,0,0
city staff,0,0,0,1,0
city of mebane staff (city engineer),0,0,0,1,0
city of mebane facilities,0,0,0,1,0
city of graham,0,0,0,1,0
community volunteers,1,0,0,0,0
construction crews,1,0,0,0,0
elderly people,0,0,1,0,0
downtown mebane development corporation,0,0,0,1,0
direct care workers,0,0,0,0,1
disabled american veterans,0,0,0,0,1
displaced survivors,0,0,0,0,1
doctors,0,0,0,1,0
dogs,0,0,0,0,1
downtown hillsborough,0,0,1,0,0
downtown users,0,0,1,0,0
construction-related businesses,0,0,1,0,0
dss clients,0,0,0,0,1
duke power customers,0,0,0,0,1
economic development department,0,0,1,0,0
economic sustainability commission members,1,0,0,0,0
economically disadvantaged,0,0,0,0,1
eha applicants,0,0,0,0,1
department of social services (dss) staff,0,0,0,0,1
department of social services,0,0,0,0,1
department heads,0,1,0,0,0
daycares,0,0,0,1,0
current board/commission members,0,1,0,0,0
criminals,0,0,1,0,0
criminal justice debt program advisory committee,0,1,0,0,0
court system,0,0,0,0,1
county-sponsored activities,0,0,0,0,1
county staff processing applications,0,0,0,0,1
county services,0,0,0,0,1
county governments,0,0,0,0,1
county extension director jonathon smith,0,0,0,0,1
county departments,0,0,0,0,1
corrections departments,0,0,0,1,0
contracting companies,0,1,0,0,0
consumers,0,0,1,0,0
"city departments (planning, inspections, fire)",0,0,0,1,0
city council members,0,0,0,1,0
citizens in custody,0,0,1,0,0
applicants for eha/lhap,0,0,0,0,1
animals in need,0,0,0,0,1
animals in shelters,0,0,0,0,1
animals needing homes,0,0,0,0,1
apartment complexes,1,0,0,0,0
appearance commission,1,0,0,0,0
applicants for development,0,1,0,0,0
applicants for zoning changes/permits,0,1,0,0,0
churches,0,0,0,1,0
aquatic ecosystems,0,0,1,0,0
area rescue organizations,0,0,0,0,1
asab members,0,0,0,0,1
asian american and pacific islander population,0,1,0,0,0
assisting fire departments,1,0,0,0,0
associations,0,1,0,0,0
animals (for lifesaving programs),0,0,0,0,1
"animals (cats, dogs, kittens)",0,0,0,0,1
animals,0,0,0,0,1
animal welfare advocates,0,0,0,0,1
animal services director,0,0,0,0,1
amtrak,0,0,1,0,0
all residents of carrboro,1,0,0,0,0
all orange county residents,0,0,0,0,1
all employees operating town-owned vehicles,0,0,1,0,0
all adults,0,0,1,0,0
alamance county landfill,0,0,0,1,0
alamance county,0,0,0,1,0
alamance and orange county commissioners,0,0,0,1,0
agricultural community,0,0,0,0,1
advisory commission members,1,0,0,0,0
advisory boards and commissions,0,1,0,0,0
adults with behavioral health diagnoses,0,0,0,0,1
at-risk elderly,0,0,0,0,1
athletes,0,0,0,1,0
authors of comments,0,0,1,0,0
candidates,0,0,1,0,0
childcare providers,0,1,0,0,0
child passenger safety (cps) technicians,0,0,0,1,0
chief executive officer (ceo),0,0,0,1,0
chapel hill transit,0,1,0,0,0
chapel hill residents,0,0,0,0,1
chapel hill police crisis unit,0,1,0,0,0
chapel hill fire rescue personnel,0,1,0,0,0
cats,0,0,0,0,1
carrboro town council,1,0,0,0,0
carrboro residents with limited english proficiency,1,0,0,0,0
carrboro residents,1,0,0,0,0
carrboro homeowners,1,0,0,0,0
caregivers,0,0,0,1,0
canine officers,0,0,1,0,0
calea assessors,0,0,0,1,0
belayers,0,1,0,0,0
businesses collecting room occupancy tax,0,0,1,0,0
businesses (advertisers),0,1,0,0,0
business owners,0,0,1,0,0
budget division staff,0,0,1,0,0
bpac (bicycle and pedestrian advisory commission),0,0,0,1,0
board of health,0,0,0,0,1
board of commissioners,0,0,1,0,0
blue sky robotics,0,1,0,0,0
"black, indigenous, and people of color",1,0,0,0,0
black community members,1,0,0,0,0
birds,0,0,0,0,1
bipoc community,1,0,0,0,0
bidders,0,0,0,1,0
bicycle and pedestrian advisory commission members,0,0,0,1,0
elderly disabled residents,0,0,0,1,0
elderly residents,0,0,0,0,1
north carolina department of environmental quality,0,0,0,0,1
licensed contractors,0,0,0,1,0
law enforcement officials,1,0,0,0,0
law enforcement personnel,0,0,0,1,0
legal professionals,0,1,0,0,0
legislators,0,0,0,1,0
lgbtq community,1,0,0,0,0
library patrons,1,0,0,0,0
licensed land surveyor,0,1,0,0,0
local schools,0,0,1,0,0
licensed north carolina professional engineers,0,1,0,0,0
licensed plumbers,0,0,0,1,0
local beekeepers,0,0,1,0,0
local churches,0,0,1,0,0
local ecosystems,1,0,0,0,0
local musicians,1,0,0,0,0
law enforcement officers,1,0,0,0,0
law enforcement agencies,0,0,0,1,0
law enforcement,0,1,0,0,0
landscape architects,0,1,0,0,0
landlords,0,0,0,0,1
kids,0,0,0,1,0
it staff,0,0,0,1,0
involved law enforcement officers,0,0,1,0,0
"internet service providers (brightspeed, google fiber, lumos, spectrum)",0,0,1,0,0
internet service providers,0,0,1,0,0
internal affairs,0,0,1,0,0
insurance professionals,0,1,0,0,0
insurance companies,0,1,0,0,0
inspire placemaking collective,0,0,1,0,0
inspections department,0,0,0,1,0
infants,0,0,1,0,0
individuals with mental illness,0,0,1,0,0
local residents,1,0,0,0,0
local schools and programs,0,0,0,1,0
elected officials,0,1,0,0,0
new pet owners,0,0,0,0,1
naming committee,0,1,0,0,0
native plants and animals,1,0,0,0,0
nc department of transportation,1,0,0,0,0
ncdot,0,1,0,0,0
nearby residents or businesses,0,1,0,0,0
needy orange county families,0,0,0,0,1
new players,0,0,0,1,0
local streams,1,0,0,0,0
news media,0,1,0,0,0
non-drivers,0,0,0,0,1
non-english speaking residents,0,0,0,0,1
non-profit groups,0,1,0,0,0
non-profit organizations,0,1,0,0,0
nonprofit agencies,0,0,1,0,0
n.c. american water works association-water environment association,0,0,1,0,0
mortgage lenders,0,1,0,0,0
monument companies,0,0,1,0,0
mobile food vendors,0,0,1,0,0
merchants,0,0,1,0,0
mebane youth soccer association,0,0,0,1,0
mebane police department staff,0,0,0,1,0
mebane police department,0,0,0,1,0
mebane fire department,0,0,0,1,0
mebane community,0,0,0,1,0
mayor's office,0,1,0,0,0
mayor foushee,1,0,0,0,0
maple avenue residents,1,0,0,0,0
manager's office,0,1,0,0,0
"low-income, justice-involved individuals",0,0,0,0,1
low-income residents,0,1,0,0,0
low-income communities,1,0,0,0,0
individuals with lost property,0,1,0,0,0
individuals involved in orange county's criminal legal system,0,0,0,0,1
individuals in custody or at risk of incarceration,0,0,0,0,1
foster children,0,0,0,0,1
financial stakeholders,0,1,0,0,0
fire departments,0,0,0,1,0
firms,0,1,0,0,0
fish,0,0,1,0,0
fleet maintenance operations,0,0,1,0,0
formerly incarcerated people,0,0,0,0,1
fully vaccinated people,0,0,0,1,0
individuals experiencing discrimination,0,0,0,0,1
funeral directors,0,0,1,0,0
funeral homes,0,0,1,0,0
future generations,0,0,0,0,1
gfl environmental (contractor),0,0,0,1,0
gotriangle,0,0,1,0,0
government agencies,1,0,0,0,0
financial services department staff,0,0,1,0,0
financial services department,0,0,1,0,0
finance director,0,1,0,0,0
festival attendees,1,0,0,0,0
fema,0,0,1,0,0
federal government (previous funding),0,0,1,0,0
federal and state agencies,0,1,0,0,0
fans,0,1,0,0,0
families with infants,0,0,0,0,1
families with children,0,1,0,0,0
facility renters,0,1,0,0,0
etc institute,0,0,1,0,0
environmental advisory board,1,0,0,0,0
entry-level individuals,0,0,1,0,0
engineering services division,0,0,1,0,0
engineering services,0,0,1,0,0
emergency medical services personnel,0,0,1,0,0
greenways commission,1,0,0,0,0
gun owners,0,0,0,0,1
h.m. kern corporation,0,0,1,0,0
home-based business operators,0,0,1,0,0
indigent residents,0,1,0,0,0
income-qualified residents,0,0,0,0,1
immigrants,1,0,0,0,0
"humans, fish and wildlife",0,0,1,0,0
humane society,0,0,1,0,0
hrd,0,1,0,0,0
housing providers,0,0,0,0,1
housing developers,0,1,0,0,0
housing and human services commission members,1,0,0,0,0
housing & community development department,0,1,0,0,0
households,0,0,0,1,0
hotel/motel operators,0,0,1,0,0
homeowners and other tree owners,0,0,1,0,0
homeless and at-risk people,0,0,1,0,0
historic sites,0,0,1,0,0
habitat for humanity,0,1,0,0,0
historic district commission members,0,0,1,0,0
historic district commission,0,1,0,0,0
hillsborough visitors center,0,0,1,0,0
hillsborough utilities department,0,0,1,0,0
hillsborough town government,0,0,1,0,0
hillsborough public space and sustainability division,0,0,1,0,0
hillsborough police department staff,0,0,1,0,0
hillsborough police department personnel,0,0,1,0,0
hillsborough garden club,0,0,1,0,0
hillsborough community,0,0,1,0,0
heirs/legatees/devisees of plot owners,0,0,1,0,0
health educators,0,0,0,0,1
health department staff,0,0,0,0,1
health department,0,0,0,0,1
youth groups,1,0,0,0,0
