municipality_name,topic_id,primary_category,representation,budget_allocation,impacted_stakeholders,summary,related_doc_count
Hillsborough,46,"police, fire, and emergency response","['animal', 'animals', 'destroying', 'destroy', 'destruction', 'badly', 'fired', 'domestic', 'report', 'force']",,"['Animal owners', 'Police officers', 'Animal Control', 'Humane Society', 'Veterinary offices', 'Supervisors']","Hillsborough's policy outlines procedures for police officers regarding the humane destruction of badly injured domestic animals, including owner notification, supervisory approval, reporting protocols, and safety considerations for officers and the public.",3
Hillsborough,47,"police, fire, and emergency response","['security', 'home', 'garage', 'windows', 'checks', 'secure', 'away', 'doors', 'check', 'police']",,"['Hillsborough residents', 'Homeowners', 'Hillsborough Police Department staff']","The Hillsborough Police Department offers free home security checks and consultations to residents, providing advice on safety improvements and property monitoring to deter break-ins, especially when residents are away.",3
Hillsborough,48,"waste management, stormwater, and infrastructure","['irrigation', 'rates', 'water', 'charges', 'inspections', 'meter', 'service', 'backflow', 'sewer', 'direct']",,"['Hillsborough water customers', 'Contractors', 'Orange County Planning and Inspections Department', 'Town utilities staff']","Hillsborough's regulations for irrigation systems, including permit requirements, system development fees, monthly water usage charges, and policies for bulk water purchase and hydrant meter rental, with provisions for water shortages.",3
Hillsborough,49,"waste management, stormwater, and infrastructure","['pipes', 'pipe', 'open', 'valve', 'freezing', 'faucets', 'air', 'unheated', 'burst', 'faucet']",,"['Hillsborough water customers', 'Homeowners', 'Plumbers']","Guidelines for Hillsborough residents to prevent water pipes from freezing and bursting, offering tips for insulating and heating pipes in unheated areas, sealing leaks, and steps to take if pipes are frozen or burst.",3
Hillsborough,50,"town governance, human resources, and board appointments","['resolutions', 'proclamations', 'commissioners', 'meeting', 'board', 'meetings', 'consent', 'agenda', 'typically', 'peoples']",,"['Mayor', 'Hillsborough Board of Commissioners', 'Town Clerk staff', 'Community organizations', 'Public']","Policies and procedures for the Hillsborough Board of Commissioners regarding the adoption of resolutions and the issuance of mayoral proclamations, including criteria for requests and their typical placement on meeting agendas.",3
Hillsborough,51,uncategorized initiatives,"['project', 'funding', 'construction', 'phase', 'installment', 'mechanism', 'underway', 'expected', 'loan', 'revoked']",6000000.0,"['Hillsborough town government', 'Federal government (previous funding)', 'Construction contractors', 'Residents (as beneficiaries of the project)']","A Hillsborough project is currently in the design phase with an estimated construction and renovation cost of $6 million, financed by an installment loan, noting the prior revocation of federal funding.",3
Hillsborough,52,"police, fire, and emergency response","['energy', 'conducted', 'aerosol', 'weapon', 'person', 'probes', 'subject', 'reasonably', 'medical', 'sprayed']",,"['Police officers', 'Subjects of force', 'Emergency Medical Services personnel', 'Medical personnel', 'Community']","Hillsborough Police Department's policy on the use of conducted energy weapons (Tasers) and aerosol sprays, detailing restrictions for vulnerable individuals, post-deployment care, and conditions for their application to ensure safety.",3
Hillsborough,53,public transportation and roads,"['agreements', 'private', 'companies', 'rights', 'way', 'property', 'construction', 'utility', 'company', 'legal']",,"['Utility companies', 'Internet service providers', 'Hillsborough residents', 'North Carolina Department of Transportation', 'Town government']","Hillsborough's policy regarding utility companies' operations within public rights-of-way, outlining their legal rights, requirements for property restoration post-construction, and the town's ability to impose conditions via encroachment agreements.",3
Hillsborough,54,"police, fire, and emergency response","['police', 'department', 'community', 'policing', 'hillsborough', 'solving', 'best', 'vision', 'team', 'character']",,"['Hillsborough Police Department personnel', 'Hillsborough community', 'Residents']","The Hillsborough Police Department's mission and vision statement, emphasizing exceptional service, community protection, and professional law enforcement through its character, operations, interactions, and personnel.",3
Hillsborough,55,"building permits, inspections, and local ordinances","['signs', 'square', 'event', 'banner', 'display', 'feet', 'permit', 'banners', 'signage', 'sign']",,"['Event organizers', 'Businesses', 'Public (for traffic safety)', 'Town government (for permitting and enforcement)']","Regulations for temporary event signage in Hillsborough, detailing limits on the number, size, and type of signs (rigid vs. banners), permissible display locations (on-site and off-site), and duration of display.",3
Hillsborough,56,"police, fire, and emergency response","['handlers', 'dogs', 'jett', 'canine', 'dog', 'train', 'police', 'independent', 'scenarios', 'trainer']",,"['Police Department', 'Canine Officers', 'Students in Hillsborough', 'Community groups', 'Local schools']","Hillsborough maintains a police canine unit with one dual-purpose patrol dog, Jett, acquired in 2018. The canine officers and their handlers undergo monthly training and annual certification by an independent trainer. The unit also performs demonstrations for schools and community groups.",3
Hillsborough,57,"waste management, stormwater, and infrastructure","['burial', 'cemetery', 'section', 'zone', 'grave', 'monument', 'markers', 'graves', 'marker', 'funeral']",,"['Funeral directors', 'Funeral homes', 'Monument companies', 'Town residents', 'Non-residents', 'Heirs/Legatees/Devisees of plot owners', 'Town staff', 'Public Space and Sustainability Division', 'Public Works Division']","Hillsborough's Town Cemetery requires burials to be performed by licensed funeral directors under town supervision, with specific notification requirements. All burial plots have been sold, with strict rules against reselling for profit or acquiring at an in-town rate for non-residents. The town issues Certificates of Burial Right and has regulations for grave markings and monuments, managed by the Public Works Division. Burial records are available online.",3
Hillsborough,58,"town governance, human resources, and board appointments","['community', 'communications', 'contacts', 'sharing', 'neighbors', 'requiring', 'inform', 'information', 'informed', 'topics']",,"['Community members', 'Neighbors', 'Communications Division', 'Senior communications specialist']","Hillsborough maintains a 'Community Contacts' program where volunteers share town information with neighbors and inform the Communications Division about topics needing more attention, aiming to keep the community informed.",3
Hillsborough,59,public transportation and roads,"['south', 'churton', 'study', 'corridor', 'project', 'multimodal', 'street', 'page', 'pumping', 'station']",,"['Town residents', 'State', 'Public Space and Sustainability Division']","Hillsborough is conducting a South Churton Street Multimodal Corridor Study to develop design concepts for a state-funded project to widen the road from Interstate 40 to the Eno River, aiming to enhance the town's character and transportation infrastructure.",3
Hillsborough,60,"parks, recreation, and public art","['greenway', 'collins', 'ridge', 'ridgewalk', 'train', 'bicycle', 'pedestrian', 'section', 'connectivity', '85']",,"['Pedestrians', 'Bicyclists', 'Collins Ridge developers', 'North Carolina Department of Transportation', 'North Carolina Railroad Company', 'Board of Commissioners', 'Public Space and Sustainability']","Hillsborough is developing the Ridgewalk Greenway, a paved urban greenway for pedestrians and bicyclists, connecting downtown to a future train station and Cates Creek Park. This project, a transportation priority since 2021, will be implemented in sections and requires coordination with NCDOT and the NC Railroad Company, with developers of Collins Ridge contributing land for connectivity.",3
Hillsborough,61,"waste management, stormwater, and infrastructure","['fiber', 'agreement', 'google', 'internet', 'lumos', 'brightspeed', 'encroachment', 'spectrum', 'providers', 'companies']",,"['Town residents', 'Businesses', 'Internet Service Providers (Brightspeed, Google Fiber, Lumos, Spectrum)', 'North Carolina Public Utilities Commission', 'Orange County', 'North Carolina Department of Transportation', 'Property owners', 'Homeowners associations']","Hillsborough is seeing private utility companies like Brightspeed, Google Fiber, Lumos, and potentially Spectrum, install gigabit fiber-optic cables to enhance internet services. The town has master encroachment agreements with some providers and can impose conditions on work within public rights-of-way, but does not fund or perform the installations, which are private projects. Residents are advised to contact providers directly for service availability.",3
Hillsborough,62,"town governance, human resources, and board appointments","['disabilities', 'animals', 'americans', 'modifications', 'discriminate', 'disability', 'act', 'people', 'programs', 'effective']",,"['People with disabilities', 'Town residents', 'Service animal owners', 'Town of Hillsborough offices', 'Town staff']","The Town of Hillsborough is committed to not discriminating on the basis of disability, in compliance with the Americans with Disabilities Act. It provides reasonable modifications to policies and procedures, including auxiliary aids for effective communication, welcomes service animals in town offices, and offers special solid waste collection for eligible residents with disabilities.",3
Hillsborough,63,"waste management, stormwater, and infrastructure","['86', 'fleet', 'facility', 'operations', 'renovation', 'office', 'currently', 'storage', 'highway', 'division']",3700000.0,"['Fleet Maintenance Operations', 'Safety and Risk Management Office', 'Public Works Division', 'Town staff', 'H.M. Kern Corporation']","Hillsborough is undertaking a nearly $3.7 million renovation and expansion of the Highway 86 North Facility (890 N.C. 86 N.). This project will provide improved office, storage, and workspace for Fleet Maintenance Operations and the Safety and Risk Management Office, and will allow the Public Works Division to relocate its operations out of a floodplain into the renovated facility.",3
Hillsborough,64,"town governance, human resources, and board appointments","['content', 'drug', 'conviction', 'language', 'sexual', 'associated', 'position', 'years', 'illegal', 'youthful']",,"['Social media users', 'Town staff']","Hillsborough has content guidelines for social media, prohibiting profane, obscene, or sexual language/content, duplicate posts, and confidential or nonpublic information. Such content is subject to blocking or removal by the platform's filtering functions.",3
Hillsborough,65,job creation and business support,"['seating', 'business', 'outdoor', 'license', 'path', 'tables', 'foot', 'sidewalk', 'merchandise', 'storefront']",,"['Businesses', 'Customers', 'Economic Development department', 'Financial Services department']","Hillsborough offers an Outdoor Seating Permit for businesses to serve customers on public sidewalks and spaces, subject to conditions like storefront placement, clear delineation of seating areas, and maintaining ADA-compliant and 6-foot clear pedestrian paths. Businesses selling beer or wine also require a separate business license.",3
Hillsborough,66,"waste management, stormwater, and infrastructure","['sewers', 'lawndale', 'sewer', 'project', 'pipe', 'basin', 'northern', 'torain', 'contractor', 'rainey']",1500000.0,"['Property owners', 'residents', 'community']","The Lawndale Sewer Project in Hillsborough involves the repair and replacement of existing sewers in the Lawndale Basin. The scope includes cleaning, inspecting, performing small dig and repair projects on the main sewer line and service connections, installing or moving sewer cleanouts, and lining sewer pipes to prevent groundwater and rainwater infiltration. The project is estimated to cost $1.5 million, with funding from a low-interest loan and reserve funds, and is slated to begin in November 2025.",4
Hillsborough,67,"town governance, human resources, and board appointments","['stop', 'online', 'service', 'start', 'site', 'payments', 'adjustments', 'billing', 'sign', 'learn']",,"['customers', 'residents', 'property owners']","This initiative outlines the procedures for starting and stopping water service in Hillsborough. To start service, customers must contact customer service at least three business days in advance, pay a $20 connection fee and a deposit, and provide a copy of a deed, lease, or property management agreement, along with a Social Security number and valid ID. Service can be initiated or disconnected via the town's online payment site.",3
Hillsborough,68,"parks, recreation, and public art","['reservation', 'reservations', 'cancellations', 'date', 'paid', 'discretion', 'bad', 'credited', 'credits', 'usable']",,"['public', 'residents']","Hillsborough's policy on reservations states that they are nonrefundable. No credit will be issued for bad weather if the park is open. However, cancellations made at least seven days before the reservation date may receive a credit for the amount paid, usable for one year. Reservations are approved at the discretion of authorized staff and will be canceled if payment is not received by the due date.",3
Hillsborough,69,"police, fire, and emergency response","['officer', 'imminent', 'believes', 'arrest', 'escape', 'attempting', 'reasonably', 'custody', 'physical', 'attack']",,"['officers', 'public', 'persons being arrested']","This policy outlines the circumstances under which a law enforcement officer may use deadly physical force. It is permitted to defend the officer or a third party from what the officer reasonably believes to be the use or imminent use of deadly physical force, or to effect an arrest or prevent escape from custody of a person attempting to escape by means of a deadly weapon or posing an imminent threat of death or serious physical injury to others.",3
Hillsborough,70,"police, fire, and emergency response","['training', 'safely', 'officers', 'jiu', 'jitsu', 'virtual', 'responses', 'trainer', 'techniques', 'situations']",,"['Police Department officers', 'community']","The Hillsborough Police Department offers diverse training programs to enhance officer skills and safety. Internal training includes Brazilian jiu-jitsu to reduce the need for force and a virtual reality system for scenario-based responses. External training encompasses Crisis Intervention, the Law Enforcement Executive Program, Professional Certification, and West Point Leadership Training, all aimed at improving officer confidence, de-escalation techniques, and overall community safety.",3
Hillsborough,71,"town governance, human resources, and board appointments","['influencing', 'participating', 'course', 'government', 'members', 'knowledge', 'decisions', 'community', 'increase', 'ability']",,"['community members', 'residents']","Hillsborough offers a multi-week Civic Engagement Course designed to increase community members' knowledge of town government and their ability to influence and participate in town decisions. The program aims to reduce barriers to civic engagement, enhance understanding of town processes, and encourage future community service.",3
Hillsborough,72,"parks, recreation, and public art","['page', 'county', 'greenways', 'hillsborough', 'orange', 'website', 'view', 'events', 'arts', 'town']",,"['residents', 'visitors', 'community']","Hillsborough highlights its parks and greenways, including the Riverwalk greenway along the Eno River, accessible via the Recreation Facilities page and Orange County's website for county-wide options. This topic serves as an informational hub covering various town services, cultural events, development, public safety, waste management, and utility services, encouraging community engagement and providing contact information for different departments.",3
Hillsborough,73,"building permits, inspections, and local ordinances","['banners', 'banner', 'feet', 'flagpoles', 'supports', 'welcome', 'maximum', 'signs', 'sign', 'event']",,"['event organizers', 'community members', 'businesses']","Hillsborough regulates the display of special event banners and additional signs, requiring a zoning compliance permit. Banners are permitted for two weeks at the ""Welcome to Hillsborough"" sign location (South Churton and Mayo streets), advertising public community events, with specific size and material requirements. Up to five additional rigid signs can be displayed off-site for up to 17 days, also with size and location restrictions. Permit fees apply.",3
Hillsborough,74,public transportation and roads,"['parking', 'downtown', 'strategies', 'demand', 'area', 'west', 'needs', 'existing', 'maximize', 'broader']",,"['residents', 'businesses', 'tourists', 'downtown users']","Hillsborough is conducting a comprehensive parking study and developing a strategic parking management plan for its downtown and West Hillsborough areas. The initiative aims to assess current parking supply and demand, understand public perceptions, address future needs, improve parking accessibility and visibility, and develop strategies that align with broader community needs, evolving downtown demands, and the Comprehensive Sustainability Plan.",3
Hillsborough,75,"town governance, human resources, and board appointments","['enterprise', 'fund', 'funds', 'revenue', 'revenues', 'profits', 'purpose', 'pays', 'funded', 'stormwater']",,"['town government', 'water and sewer customers', 'stormwater utility customers']","Hillsborough operates two enterprise funds: the Stormwater Utility Fund and the Water and Sewer Fund. These funds manage the town's business-like activities, with services financed by fees and charges rather than taxes. The revenue generated is dedicated solely to providing these specific services, ensuring no profits are made and funds are used exclusively for their intended purpose.",3
Hillsborough,76,"town governance, human resources, and board appointments","['update', 'answer', 'forums', 'customer', 'unable', 'questions', 'feedback', 'visit', 'administrative', 'order']",,"['customers', 'residents']","An initiative focused on managing customer feedback and inquiries through various forums, directing them to appropriate contact channels instead of social media for detailed questions and concerns.",3
Hillsborough,77,"town governance, human resources, and board appointments","['approved', 'board', 'received', 'annual', 'update', 'favorable', 'report', 'organizational', 'celebration', 'concluded']",,"['board members', 'town manager', 'Police Department', 'residents']","The board's annual activities, including approving recreation regulations, reviewing the budget, conducting organizational meetings, receiving audit reports for Fiscal Year 2025, and reviewing the Police Department's annual report and planning updates for town celebrations.",3
Hillsborough,78,"waste management, stormwater, and infrastructure","['fats', 'grease', 'oil', 'fat', 'oils', 'trapper', 'interceptors', 'greasy', 'backups', 'trappers']",,"['residential customers', 'properties discharging greasy wastewater', 'utilities infrastructure protection supervisor', 'Orange County solid waste convenience center']","An initiative to prevent sewer line blockages and overflows caused by fats, oils, and grease (FOG). It requires properties with greasy wastewater to have interceptors, provides free fat trappers to residential customers, and educates on proper FOG disposal and avoiding flushing non-dissolvable items.",3
Hillsborough,79,"town governance, human resources, and board appointments","['commissioners', 'board', 'representing', 'mayor', 'ties', 'member', 'serving', 'hears', 'appeals', 'establishes']",,"['Hillsborough Board of Commissioners', 'mayor', 'tourism board members', 'businesses collecting room occupancy tax', 'travel and tourism promoters']","Describes the structure and function of the Hillsborough Board of Commissioners, which serves as the town's legislative body, establishes policy and law, and includes the mayor and five commissioners. It also mentions representation on the Tourism Board.",3
Hillsborough,80,"police, fire, and emergency response","['medical', 'injury', 'injuries', 'applied', 'complaining', 'chest', 'stabilized', 'pains', 'foremost', 'force']",,"['officers', 'subjects involved in use of force incidents', 'Emergency Medical Services', 'on-duty supervisors', 'command staff']","Policy outlining procedures for officers after use of force incidents, emphasizing immediate medical assessment and intervention for subjects, notification of supervisors, securing the scene, collecting evidence, and documenting injuries through photographs.",3
Hillsborough,81,"waste management, stormwater, and infrastructure","['distribution', 'maintains', 'deliver', 'environment', 'cleans', 'division', 'transport', 'prepares', 'drinking', 'water']",,"['residents', 'Utilities Department', 'Water Distribution Division', 'N.C. American Water Works Association-Water Environment Association']","The Utilities Department's role in preparing drinking water, cleaning wastewater for environmental return, and maintaining infrastructure. Specifically, the Water Distribution Division repairs water line breaks, maintains water lines, pump stations, and tanks, and manages a backflow prevention program.",3
Hillsborough,0,"waste management, stormwater, and infrastructure","['collection', 'leaves', 'waste', 'items', 'bags', 'brush', 'curb', 'collected', 'garbage', 'week']",,"['Hillsborough residents', 'single-family homeowners', 'businesses', 'residents with disabilities']","Hillsborough provides comprehensive waste collection services including Christmas trees, loose leaves (seasonal), monthly bulk items, and weekly household garbage. The town outlines specific rules for items, placement, and fees for special collections. It also promotes food waste composting and offers special garbage collection for residents with disabilities.",3
Hillsborough,1,"waste management, stormwater, and infrastructure","['backflow', 'prevention', 'device', 'theft', 'devices', 'pressure', 'water', 'supply', 'hydrant', 'tampering']",,"['property owners', 'businesses', 'contractors', 'pool and hot tub owners', 'public water system users']","Hillsborough implements policies and regulations for backflow prevention devices to protect its public water supply from contamination. This includes requirements for installation, annual testing, winter protection, and strict protocols for reporting and penalizing tampering or theft of these devices, which are crucial for public safety.",3
Hillsborough,2,"police, fire, and emergency response","['camera', 'worn', 'body', 'car', 'officers', 'video', 'personnel', 'bwc', 'activate', 'situation']",,"['police officers', 'command personnel', 'community members', 'citizens in custody', 'property owners']","The Hillsborough Police Department has established a policy for the use and management of body-worn and in-car camera systems. This policy covers training, deployment, activation and deactivation procedures, exceptions for privacy, and strict guidelines for record management, retention, and release, aiming to build public trust and document interactions.",3
Hillsborough,3,"waste management, stormwater, and infrastructure","['stormwater', 'runoff', 'geese', 'pollution', 'pond', 'measures', 'owners', 'illegal', 'vegetation', 'management']",,"['property owners', 'homeowners associations', 'businesses', 'developers', 'contractors', 'community members', 'wildlife']","Hillsborough's Stormwater and Environmental Services Division works to reduce stormwater runoff pollution through permit compliance, development regulation, and public education. Initiatives include enforcing riparian buffers, managing private stormwater control measures (like ponds with goose deterrence), addressing illegal dumping, and offering educational programs and partnerships to protect the environment.",4
Hillsborough,4,job creation and business support,"['tourism', 'tax', 'food', 'prepared', 'beverage', 'partnerships', 'occupancy', 'room', 'vendors', 'board']",,"['Tourism Board', 'Tourism Development Authority', 'Hillsborough Visitors Center', 'local organizations', 'historic sites', 'nonprofit agencies', 'merchants', 'mobile food vendors', 'hotel/motel operators', 'consumers']","Hillsborough levies a 1% prepared food and beverage sales tax and a 3% hotel/motel room occupancy tax. Proceeds fund the Tourism Board and Tourism Development Authority, which reinvest in the Visitors Center, grants, special projects, and partnerships to expand tourism and encourage lodging stays. The town also offers funding opportunities for nonprofit agencies.",3
Hillsborough,5,"parks, recreation, and public art","['park', 'parks', 'recreation', 'gold', 'greenways', 'riverwalk', 'closed', 'weather', 'greenway', 'dog']",,"['community members', 'park users', 'dog owners', 'emergency workers', 'Public Works staff', 'Tree Board', 'Parks and Recreation Board']","Hillsborough manages various parks and greenways, including Gold Park and Riverwalk Greenway, with policies for flood resilience, severe weather closures, and providing shade (tree planting). The Public Space and Sustainability Division oversees these areas, and the Parks and Recreation Board advises on improvements and master plan implementation.",3
Hillsborough,6,"building permits, inspections, and local ordinances","['ordinance', 'sustainability', 'development', 'unified', 'comprehensive', 'land', 'developments', 'plan', 'project', 'rewrite']",,"['public', 'developers', 'residents', 'property owners', 'town staff', 'Inspire Placemaking Collective']","The Town of Hillsborough is undertaking a rewrite of its Unified Development Ordinance (UDO) to align with the Comprehensive Sustainability Plan. This update will set standards for quality development and land use, incorporating sustainability, economic resilience, and equity goals. Key priorities include keeping zoning consistent with plans, streamlining permitting, encouraging various housing types (including ADUs), reducing surface parking, adopting electric vehicle charging requirements, updating sidewalk and signage regulations, and increasing multimodal accessibility. The project involves public review and comment opportunities.",4
Hillsborough,7,"police, fire, and emergency response","['training', 'law', 'basic', 'enforcement', 'candidates', 'officers', 'program', 'police', 'sponsorship', 'officer']",,"['police officers', 'entry-level individuals', 'candidates', 'community colleges', 'North Carolina Justice Academy', 'other agencies']","The Hillsborough Police Department offers and requires various training programs for its officers, including Basic Law Enforcement Training (BLET) for entry-level officers (which can be sponsored by the department), field training for new hires, annual mandatory in-service training (e.g., domestic violence, ethics, firearms, legal updates, proactive wellness), and elective training. The department also provides specialized training in Jiu Jitsu, virtual reality scenarios, crisis intervention, leadership, and professional certification, aiming to develop skills, reduce use of force, and improve community engagement.",4
Hillsborough,8,"police, fire, and emergency response","['patrol', 'traffic', 'worker', 'police', 'drivers', 'enforcement', 'vision', 'zero', 'campaigns', 'alcohol']",,"['community members', 'drivers', 'criminals', 'wanted persons', 'homeless and at-risk people', 'individuals with mental illness', 'local businesses']","The Hillsborough Police Department's Operations Division performs patrol duties and community policing, including responding to 911 calls, high-visibility patrol, proactive traffic enforcement, and working with a social worker to assist individuals and divert them from the criminal justice system, especially those with mental illness or who are homeless. The department also conducts alcohol law enforcement, educates drivers on traffic safety, and participates in state highway safety campaigns to reduce collisions (e.g., drinking and driving, seatbelts, speeding).",3
Hillsborough,9,"building permits, inspections, and local ordinances","['historic', 'district', 'commission', 'application', 'appropriateness', 'certificate', 'applications', 'example', 'minor', 'standards']",,"['property owners', 'residents', 'developers', 'public', 'Historic District Commission members', 'Planning and Economic Development Division staff']","The Hillsborough Historic District Commission oversees exterior changes within the Hillsborough Historic District, requiring a Certificate of Appropriateness or minor works approval for building, moving, demolishing, altering, or restoring structures. The commission's mission is to identify, protect, and preserve architectural resources, guided by design standards and matrices. The district, established in 1973, includes over 100 historic buildings and is listed on the National Register of Historic Places.",3
Hillsborough,10,"town governance, human resources, and board appointments","['limits', 'county', 'orange', 'jurisdiction', 'area', 'extraterritorial', 'outside', 'property', 'zoning', 'address']",,"['residents', 'property owners', 'Orange County', 'private companies', 'Orange Rural Fire Department', ""Orange County Sheriff's Office"", 'developers']","The Town of Hillsborough defines its service provision and zoning jurisdiction, which extends to an extraterritorial jurisdiction (ETJ) area beyond town limits. The town provides garbage collection, law enforcement, and water and sewer services within its limits, and may provide water and sewer services in the ETJ. For areas outside town limits, including the ETJ, Orange County and other agencies provide services like recycling, fire protection, and law enforcement. The town also has a courtesy review agreement with Orange County for development projects in the ETJ.",3
